Субъект РФ;Год;Среднегодовая численность занятых (тыс. чел);Численность безработных (тыс. чел);Численность незанятых граждан, состоящих на учете в органах службы занятости населения в целях поиска подходящей работы (тыс. чел)
Саратовская область;2005;1169.5;121;23.9
Ульяновская область;2005;604.9;54;22.3
Уральский         федеральный округ;2005;6068.4;431;144.4
Курганская область;2005;424.4;55;13.2
Свердловская область ;2005;2093.7;159;47.1
Тюменская область;2005;1890.6;122;43.7
в том числе:;2005;0;0;0
Ханты-Мансийский автономный округ - Югра;2005;877.1;67;20.3
Ямало-Ненецкий автономный округ;2005;359.7;22;9.1
Тюменская область  без автономных округов;2005;653.8;32;14.2
Челябинская область;2005;1659.6;95;40.5
Сибирский        федеральный округ;2005;8016.5;835;318.9
Республика Алтай;2005;84.9;9;5.1
Республика Тыва;2005;103.9;29;13
Республика Хакасия;2005;241.1;25;9.1
Алтайский край;2005;1105.1;113;79.4
Красноярский край;2005;1418.8;152;52.6
Иркутская область;2005;1141.7;128;37
Кемеровская область;2005;1295.2;127;52.1
Новосибирская область ;2005;1221.7;108;23.8
Омская область;2005;939.1;90;23.1
Томская область;2005;465.1;55;23.8
Дальневосточный федеральный округ;2005;4125.1;375;165
Республика Бурятия;2005;386.6;55;14.8
Республика Саха (Якутия);2005;471.8;45;11.8
Забайкальский край;2005;476;49;13.1
Камчатский край;2005;179.5;17;9.1
Приморский край;2005;980.2;86;48.1
Хабаровский край ;2005;717.4;43;34.5
Амурская область;2005;424.2;41;20.1
Магаданская область;2005;93.8;7;5.5
Сахалинская область;2005;277.7;24;5.2
Еврейская автономная область;2005;79.3;7;1.4
Чукотский автономный округ;2005;38.5;1;1.4
Центральный федеральный округ;2006;18466.7;815;276.8
Белгородская область;2006;677.4;43;12
Брянская область;2006;603.3;45;12.2
Владимирская область;2006;708;86;15.8
Воронежская область;2006;1057.1;64;25.3
Ивановская область;2006;488.8;23;12.3
Калужская область;2006;477.5;30;4.3
Костромская область;2006;323.8;18;5.3
Курская область;2006;594.3;42;8.2
Липецкая область;2006;547.2;30;5.4
Московская область;2006;2771.6;111;35.6
Орловская область;2006;407.1;25;6.6
Рязанская область;2006;520.4;28;8
Смоленская область;2006;479.3;44;6.1
Тамбовская область;2006;507.6;49;15.7
Тверская область;2006;613.6;33;8.4
Тульская область;2006;777.9;23;7.7
Ярославская область;2006;668.8;21;12.8
