Субъект РФ;Год;Валовый региональный продукт: всего (млн. руб.);Валовый региональный продукт: на душу населения (руб.)
Уральский         федеральный округ;2005;3091362.9;254078.4
Курганская область;2005;50245.8;51724
Свердловская область ;2005;475575.5;108697.2
Тюменская область;2005;2215584.4;673208.3
в том числе:;2005;0;0
Ханты-Мансийский автономный округ - Югра;2005;1399335.9;955182.6
Ямало-Ненецкий автономный округ;2005;441721.8;856078.1
Тюменская область  без автономных округов;2005;0;0
Челябинская область;2005;349957.2;99159.8
Сибирский        федеральный округ;2005;1806739.4;103308.6
Республика Алтай;2005;8805.8;43592.3
Республика Тыва;2005;11662.5;38429.7
Республика Хакасия;2005;41727.5;77864.6
Алтайский край;2005;135686.4;53812.4
Красноярский край;2005;439736.9;152389
Иркутская область;2005;258095.5;102904.3
Кемеровская область;2005;295378.4;104764.5
Новосибирская область ;2005;235381.8;88475.5
Омская область;2005;220686.1;108970.6
Томская область;2005;159578.5;155365.2
Дальневосточный федеральный округ;2005;970981.7;112957.3
Республика Бурятия;2005;74912.9;77313.2
Республика Саха (Якутия);2005;183027;191896
Забайкальский край;2005;69647.1;61741
Камчатский край;2005;43974.3;129240.8
Приморский край;2005;186623.3;92504.2
Хабаровский край ;2005;161194.4;116257.5
Амурская область;2005;76861.2;88597.1
Магаданская область;2005;27167.8;157798.9
Сахалинская область;2005;121014.1;230298.2
Еврейская автономная область;2005;14204.2;77319.2
Чукотский автономный округ;2005;12355.4;237134.5
Центральный федеральный округ;2006;7965169.5;208806.5
Белгородская область;2006;178846.1;118211.4
Брянская область;2006;82100.4;62187.8
Владимирская область;2006;112841.7;76184.8
Воронежская область;2006;166176.5;70492.7
Ивановская область;2006;55090;50271.5
Калужская область;2006;86150.5;84317.4
Костромская область;2006;54351.1;78226.9
Курская область;2006;104035.7;88949.4
Липецкая область;2006;179057.3;150197.1
Московская область;2006;934328.9;137092.1
Орловская область;2006;64801.6;79341.5
Рязанская область;2006;105491.9;89010.9
Смоленская область;2006;79043.4;77366.8
Тамбовская область;2006;79766.2;70416.2
Тверская область;2006;127363.8;90517.8
Тульская область;2006;142240.1;88476.2
Ярославская область;2006;153251.5;117309.2
г. Москва;2006;5260232.8;477873
Северо-Западный федеральный округ;2006;2198608;160590.9
Республика Карелия;2006;84228.3;125613.2
Республика Коми;2006;218490.7;229053.7
Архангельская область;2006;215932.7;169458.4
в том числе: ;2006;0;0
Ненецкий автономный округ;2006;67248.4;1605587.4
Архангельская область без автономного округа;2006;0;0
Вологодская область;2006;201939.2;164130.2
Калининградская область;2006;103138.7;110255.4
Ленинградская область;2006;265260.4;157122.1
Мурманская область;2006;158127;190124.3
Новгородская область;2006;74923.8;113246.4
Псковская область;2006;51464.9;72029.1
г. Санкт-Петербург;2006;825102.3;174432.8
Южный             федеральный округ;2006;1195194.5;86428.1
Республика Адыгея;2006;21132.4;48050.2
Республика Калмыкия;2006;12844.1;43797.2
Республика Крым;2006;0;0
Краснодарский край;2006;483950.7;94244
Астраханская область;2006;85112.1;84950
Волгоградская область;2006;252142.7;95683.4
Ростовская область;2006;340012.5;78642
г. Севастополь;2006;0;0
Северо-Кавказский        федеральный округ;2006;457117.5;50434.2
Республика Дагестан;2006;124153.5;45741.7
Республика Ингушетия;2006;9033.5;21922.4
Кабардино-Балкарская Республика;2006;43309.7;50225.2
Карачаево-Черкесская Республика;2006;23260.1;50778.7
Республика Северная Осетия - Алания;2006;43341.2;61229.6
Чеченская Республика;2006;32344.4;27831.4
Ставропольский край;2006;181675.1;66136.4
Приволжский федеральный округ;2006;3513341.6;115727.9
Республика Башкортостан;2006;505205.8;124439.6
Республика Марий Эл;2006;43663.7;61413
Республика Мордовия;2006;57974.2;67309.8
Республика Татарстан;2006;605911.5;161045.9
Удмуртская Республика;2006;164848.5;106891
Чувашская Республика;2006;93172;73147.3
Пермский край;2006;383770.1;141864.8
Кировская область;2006;97047.1;68958.3
Нижегородская область ;2006;376180.3;110662.7
Оренбургская область;2006;302808.4;145532.5
Пензенская область;2006;88805;62719.8
Самарская область;2006;487713.5;151238.8
Саратовская область;2006;204291.2;79127
Ульяновская область;2006;101950.3;76474.6
Уральский         федеральный округ;2006;3720616.2;307373.9
Курганская область;2006;68434.5;71738.6
Свердловская область ;2006;653908.3;150548.6
Тюменская область;2006;2551355.4;773076.2
в том числе:;2006;0;0
Ханты-Мансийский автономный округ - Югра;2006;1594097.1;1083321.7
Ямало-Ненецкий автономный округ;2006;546365.8;1051708.7
Тюменская область  без автономных округов;2006;0;0
