Субъекты РФ;Год;ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ (тыс. чел);Естественный прирост населения (чел.);Миграционный прирост населения (чел.)
Смоленская область;2004;1032.3;-7226.1;5884.11
Тамбовская область;2004;1150.8;-10357.2;1035.72
Тверская область;2004;1432.6;-15758.6;4441.06
Тульская область;2004;1631.8;-17949.8;5058.58
Ярославская область;2004;1329.8;-17287.4;-3058.54
г. Москва;2004;10726.4;193075.2;232762.88
Северо-Западный  федеральный округ;2004;13793.5;-68967.5;46897.9
Республика Карелия;2004;689.6;-13102.4;-7378.72
Республика Коми;2004;982.9;-16709.3;-13170.86
Архангельская область;2004;1299.2;-15590.4;-7665.28
Ненецкий автономный округ;2004;41.9;41.9;-50.28
Архангельская область без автономного округа;2004;1257.3;-16344.9;-7543.8
Вологодская область;2004;1245.8;-9966.4;373.74
Калининградская область;2004;942.1;-5652.6;2732.09
Ленинградская область;2004;1681.5;8407.5;28081.05
Мурманская область;2004;856.9;-16281.1;-13281.95
Новгородская область;2004;674.5;-8094;269.8
Псковская область;2004;734.5;-11752;-1028.3
г. Санкт-Петербург;2004;4686.5;23432.5;58112.6
Южный                 федеральный округ;2004;13870.8;-41612.4;34677
Республика Адыгея;2004;443.3;-1329.9;443.3
Республика Калмыкия;2004;293.2;879.6;263.88
Республика Крым;2004;0;0;0
Краснодарский край;2004;5118.9;5118.9;27130.17
Астраханская область;2004;1006.5;402.6;3120.15
Волгоградская область;2004;2656.2;-15937.2;-531.24
Ростовская область;2004;4352.7;-21763.5;4787.97
г. Севастополь;2004;0;0;0
Северо-Кавказский     федеральный округ;2004;8994.6;26983.8;-14391.36
Республика Дагестан;2004;2652.7;34485.1;9549.72
Республика Ингушетия ;2004;433.7;-17348;-22812.62
Кабардино-Балкарская Республика;2004;877.3;-12282.2;-12984.04
Карачаево-Черкесская Республика;2004;450.2;5852.6;5762.56
Республика Северная Осетия – Алания;2004;706.4;-1412.8;-494.48
Чеченская Республика ;2004;1133.2;16998;-5892.64
Ставропольский край;2004;2741.1;2741.1;12883.17
Приволжский федеральный округ;2004;30678.7;-214750.9;-27610.83
Республика Башкортостан;2004;4081.3;-12243.9;-816.26
Республика Марий Эл;2004;718.3;-4309.8;-71.83
Республика Мордовия;2004;871.8;-6102.6;610.26
Республика Татарстан;2004;3768.2;-3768.2;7536.4
Удмуртская Республика;2004;1554.3;-6217.2;-1088.01
Чувашская Республика;2004;1291;-10328;-4905.8
Пермский край;2004;2751.6;-30267.6;-14033.16
Кировская область;2004;1445.3;-26015.4;-13441.29
Нижегородская область ;2004;3447.9;-34479;3792.69
Оренбургская область;2004;2122.5;-27592.5;-18678
Пензенская область;2004;1431;-8586;4579.2
Самарская область;2004;3225.3;-3225.3;15803.97
Саратовская область;2004;2615.6;-23540.4;-4446.52
Ульяновская область;2004;1354.6;-12191.4;-1760.98
Уральский       федеральный округ;2004;12205.2;-73231.2;-37836.12
Курганская область;2004;981;-17658;-11379.6
Свердловская область ;2004;4394.1;-39546.9;-14061.12
Тюменская область;2004;3288.3;6576.6;-4932.45
Ханты-Мансийский автономный округ – Югра;2004;1462.2;8773.2;-1900.86
Ямало-Ненецкий автономный округ;2004;514.6;3602.2;-566.06
Тюменская область без автономных округов;2004;1311.5;-5246;-2491.85
Челябинская область;2004;3541.8;-28334.4;-7437.78
Сибирский        федеральный округ;2004;17572.8;-158155.2;-79077.6
Республика Алтай;2004;202.3;-202.3;-728.28
Республика Тыва;2004;304.1;-912.3;-2919.36
Республика Хакасия;2004;538;-3228;-1129.8
