Субъект РФ;Год;Продукция сельского хозяйства (млн. руб.)
Тамбовская область;2008;32915.4
Тверская область;2008;15475.3
Тульская область;2008;27263.4
Ярославская область;2008;16332.2
г. Москва;2008;0
Северо-Западный федеральный округ;2008;108357.2
Республика Карелия;2008;3554.5
Республика Коми;2008;5542.1
Архангельская область;2008;7526.9
в том числе: ;2008;0
Ненецкий автономный округ;2008;546.5
Архангельская область без автономного округа;2008;6980
Вологодская область;2008;19040.6
Калининградская область;2008;14698.2
Ленинградская область;2008;38607.2
Мурманская область;2008;2448.5
Новгородская область;2008;8057.7
Псковская область;2008;8881.5
г. Санкт-Петербург;2008;0
Южный             федеральный округ;2008;373899.5
Республика Адыгея;2008;9376.7
Республика Калмыкия;2008;9545.6
Республика Крым;2008;0
Краснодарский край;2008;166498.4
Астраханская область;2008;14983.7
Волгоградская область;2008;67488.5
Ростовская область;2008;106006.6
г. Севастополь;2008;0
Северо-Кавказский        федеральный округ;2008;170547.7
Республика Дагестан;2008;38751.5
Республика Ингушетия;2008;2960.8
Кабардино-Балкарская Республика;2008;19176.1
Карачаево-Черкесская Республика;2008;11563.7
Республика Северная Осетия - Алания;2008;14427
Чеченская Республика;2008;8559.7
Ставропольский край;2008;75108.9
Приволжский федеральный округ;2008;619134.3
Республика Башкортостан;2008;102814.3
Республика Марий Эл;2008;14797.4
Республика Мордовия;2008;28706.8
Республика Татарстан;2008;113975.2
Удмуртская Республика;2008;30870.4
Чувашская Республика;2008;21314.1
Пермский край;2008;25932.9
Кировская область;2008;22378.1
Нижегородская область ;2008;41914.1
Оренбургская область;2008;62919.8
Пензенская область;2008;28310.4
Самарская область;2008;42046.6
Саратовская область;2008;64031.4
Ульяновская область;2008;19122.8
Уральский         федеральный округ;2008;166284.2
Курганская область;2008;21802.3
Свердловская область ;2008;40261.5
Тюменская область;2008;43218.8
в том числе:;2008;0
Ханты-Мансийский автономный округ - Югра;2008;4360
Ямало-Ненецкий автономный округ;2008;1273.7
